value;areas;bedrooms;spaces;bathrooms
450000.0;340.0;3.0;3.0;3.0
1100000.0;280.0;5.0;6.0;7.0
400000.0;140.0;3.0;2.0;1.0
900000.0;306.0;4.0;3.0;5.0
350000.0;125.0;3.0;1.0;2.0
437000.0;135.0;4.0;4.0;2.0
380000.0;120.0;2.0;1.0;3.0
300000.0;110.0;2.0;1.0;3.0
400000.0;120.0;3.0;2.0;2.0
700000.0;280.0;3.0;3.0;3.0
330000.0;120.0;3.0;2.0;3.0
380000.0;150.0;2.0;2.0;3.0
385000.0;106.0;2.0;2.0;3.0
170000.0;127.0;2.0;1.0;1.0
1000000.0;450.0;4.0;4.0;4.0
300000.0;110.0;2.0;2.0;3.0
550000.0;285.0;4.0;5.0;5.0
1900000.0;525.0;4.0;4.0;5.0
370000.0;110.0;2.0;2.0;3.0
17000000.0;1500.0;8.0;10.0;12.0
5300000.0;700.0;6.0;6.0;8.0
13000000.0;1000.0;6.0;3.0;8.0
440000.0;120.0;3.0;3.0;3.0
210000.0;999.0;2.0;1.0;2.0
600000.0;245.0;4.0;4.0;5.0
1100000.0;282.0;5.0;4.0;5.0
1550000.0;300.0;4.0;4.0;6.0
360000.0;95.0;3.0;1.0;3.0
850000.0;390.0;3.0;4.0;4.0
320000.0;300.0;4.0;2.0;3.0
760000.0;250.0;3.0;4.0;5.0
950000.0;250.0;5.0;4.0;5.0
1190000.0;323.0;5.0;4.0;6.0
670000.0;236.0;4.0;4.0;3.0
350000.0;120.0;2.0;2.0;3.0
650000.0;200.0;3.0;5.0;4.0
540000.0;150.0;3.0;;3.0
1200000.0;500.0;5.0;4.0;5.0
550000.0;180.0;3.0;4.0;3.0
500000.0;131.0;3.0;4.0;3.0
500000.0;110.0;3.0;2.0;2.0
570000.0;300.0;3.0;4.0;4.0
900000.0;250.0;4.0;4.0;5.0
1100000.0;328.0;5.0;4.0;7.0
6500000.0;690.0;4.0;4.0;5.0
6800000.0;900.0;7.0;6.0;6.0
670000.0;237.0;4.0;4.0;5.0
850000.0;390.0;4.0;4.0;4.0
950000.0;199.0;4.0;4.0;5.0
750000.0;200.0;5.0;3.0;4.0
360000.0;110.0;2.0;1.0;2.0
550000.0;180.0;4.0;4.0;6.0
900000.0;220.0;3.0;5.0;4.0
3000000.0;500.0;5.0;4.0;7.0
295000.0;95.0;2.0;1.0;2.0
450000.0;146.0;3.0;4.0;4.0
290000.0;80.0;2.0;1.0;3.0
700000.0;200.0;3.0;3.0;3.0
450000.0;150.0;3.0;4.0;3.0
650000.0;300.0;3.0;4.0;5.0
630000.0;180.0;3.0;4.0;2.0
420000.0;126.0;3.0;2.0;4.0
680000.0;450.0;4.0;5.0;3.0
660000.0;300.0;4.0;4.0;5.0
500000.0;500.0;3.0;3.0;4.0
550000.0;200.0;4.0;2.0;4.0
510000.0;310.0;4.0;4.0;5.0
8000000.0;880.0;6.0;4.0;7.0
5200000.0;850.0;7.0;8.0;10.0
6500000.0;740.0;5.0;6.0;8.0
250000.0;112.0;2.0;1.0;2.0
780000.0;253.0;3.0;3.0;5.0
750000.0;240.0;3.0;4.0;3.0
795000.0;396.0;4.0;4.0;4.0
850000.0;390.0;4.0;4.0;5.0
500000.0;130.0;3.0;2.0;3.0
800000.0;226.0;4.0;4.0;4.0
380000.0;110.0;2.0;2.0;2.0
380000.0;120.0;2.0;1.0;3.0
1250000.0;370.0;6.0;4.0;4.0
1100000.0;300.0;5.0;4.0;4.0
900000.0;230.0;4.0;4.0;6.0
650000.0;245.0;3.0;4.0;4.0
550000.0;300.0;3.0;4.0;3.0
300000.0;70.0;2.0;2.0;3.0
1000000.0;300.0;4.0;4.0;4.0
900000.0;600.0;4.0;6.0;6.0
780000.0;360.0;5.0;4.0;6.0
900000.0;335.0;4.0;4.0;6.0
320000.0;108.0;2.0;2.0;4.0
1500000.0;518.0;5.0;4.0;4.0
6000000.0;680.0;5.0;6.0;7.0
6500000.0;740.0;5.0;6.0;8.0
1100000.0;328.0;5.0;4.0;7.0
500000.0;200.0;3.0;5.0;3.0
550000.0;128.0;3.0;3.0;3.0
490000.0;130.0;3.0;3.0;3.0
450000.0;98.0;3.0;2.0;3.0
260000.0;85.0;2.0;1.0;2.0
550000.0;150.0;3.0;3.0;4.0
413400.0;112.0;3.0;1.0;4.0
890000.0;451.0;5.0;6.0;5.0
990000.0;200.0;4.0;4.0;7.0
580000.0;380.0;3.0;2.0;3.0
650000.0;220.0;4.0;4.0;3.0
590000.0;128.0;3.0;4.0;4.0
580000.0;170.0;3.0;4.0;2.0
960000.0;282.0;5.0;4.0;7.0
880000.0;300.0;4.0;6.0;4.0
1350000.0;380.0;6.0;4.0;6.0
650000.0;220.0;3.0;4.0;3.0
750000.0;280.0;4.0;4.0;4.0
570000.0;175.0;4.0;4.0;3.0
600000.0;200.0;3.0;4.0;2.0
1100000.0;290.0;4.0;3.0;5.0
25000000.0;1100.0;7.0;6.0;10.0
1200000.0;1000.0;5.0;3.0;5.0
10000000.0;1500.0;8.0;4.0;12.0
290000.0;120.0;2.0;1.0;1.0
700000.0;370.0;3.0;2.0;3.0
1750000.0;320.0;5.0;2.0;4.0
371000.0;188.0;3.0;2.0;3.0
350000.0;120.0;2.0;2.0;3.0
400000.0;150.0;2.0;2.0;3.0
850000.0;249.0;3.0;4.0;5.0
1300000.0;400.0;5.0;5.0;5.0
490000.0;198.0;3.0;3.0;4.0
1100000.0;400.0;4.0;4.0;5.0
1300000.0;480.0;5.0;5.0;6.0
280000.0;110.0;2.0;1.0;3.0
550000.0;238.0;4.0;4.0;4.0
1300000.0;300.0;4.0;5.0;5.0
650000.0;163.0;2.0;3.0;2.0
1300000.0;318.0;4.0;4.0;5.0
1350000.0;314.0;4.0;4.0;4.0
850000.0;250.0;4.0;4.0;3.0
680000.0;187.0;3.0;4.0;3.0
379900.0;107.0;2.0;1.0;2.0
360000.0;110.0;2.0;1.0;2.0
5300000.0;700.0;6.0;6.0;8.0
540000.0;290.0;3.0;4.0;3.0
19000000.0;1600.0;8.0;6.0;10.0
300000.0;110.0;2.0;1.0;3.0
480000.0;229.0;3.0;1.0;3.0
580000.0;260.0;3.0;4.0;4.0
785000.0;330.0;4.0;4.0;6.0
760000.0;280.0;3.0;4.0;5.0
890000.0;200.0;4.0;4.0;5.0
380000.0;120.0;2.0;1.0;3.0
260000.0;62.0;2.0;1.0;2.0
750000.0;315.0;4.0;6.0;5.0
425000.0;154.0;3.0;1.0;3.0
1180000.0;350.0;4.0;4.0;5.0
480000.0;128.0;4.0;4.0;3.0
1200000.0;353.0;4.0;6.0;4.0
1300000.0;406.0;4.0;3.0;4.0
3500000.0;500.0;4.0;5.0;6.0
580000.0;444.0;4.0;4.0;3.0
350000.0;150.0;2.0;2.0;3.0
500000.0;140.0;4.0;4.0;3.0
665000.0;197.0;4.0;4.0;4.0
630000.0;240.0;3.0;4.0;4.0
650000.0;216.0;4.0;3.0;4.0
1100000.0;328.0;5.0;4.0;7.0
1000000.0;340.0;4.0;4.0;7.0
680000.0;200.0;3.0;4.0;3.0
850000.0;484.0;3.0;4.0;2.0
550000.0;182.0;3.0;2.0;2.0
1100000.0;260.0;4.0;5.0;5.0
500000.0;402.0;3.0;4.0;3.0
680000.0;187.0;3.0;6.0;4.0
1100000.0;280.0;4.0;4.0;3.0
1490000.0;376.0;3.0;6.0;5.0
550000.0;180.0;3.0;2.0;4.0
340000.0;110.0;2.0;1.0;2.0
1500000.0;518.0;4.0;4.0;6.0
1200000.0;1000.0;4.0;4.0;3.0
1200000.0;350.0;4.0;5.0;5.0
1500000.0;364.0;4.0;4.0;7.0
235000.0;68.0;2.0;1.0;2.0
580000.0;220.0;3.0;3.0;4.0
1200000.0;347.0;5.0;4.0;4.0
1980000.0;600.0;4.0;5.0;5.0
680000.0;186.0;3.0;6.0;5.0
770000.0;280.0;3.0;6.0;3.0
1700000.0;450.0;5.0;4.0;7.0
245000.0;72.0;2.0;1.0;2.0
260000.0;80.0;3.0;1.0;2.0
770000.0;418.0;3.0;4.0;5.0
600000.0;196.0;3.0;5.0;2.0
1200000.0;219.0;4.0;4.0;5.0
350000.0;95.0;2.0;1.0;3.0
1500000.0;400.0;6.0;6.0;8.0
11000000.0;700.0;7.0;13.0;9.0
540000.0;150.0;3.0;;3.0
1200000.0;265.0;3.0;3.0;5.0
380000.0;100.0;1.0;2.0;1.0
290000.0;61.0;2.0;3.0;2.0
800000.0;600.0;3.0;4.0;3.0
650000.0;200.0;4.0;4.0;4.0
850000.0;280.0;4.0;2.0;4.0
750000.0;360.0;3.0;4.0;2.0
1380000.0;300.0;4.0;5.0;5.0
550000.0;240.0;4.0;3.0;4.0
230000.0;72.0;2.0;1.0;2.0
1500000.0;300.0;4.0;2.0;4.0
750000.0;225.0;5.0;4.0;4.0
1200000.0;480.0;4.0;6.0;5.0
600000.0;180.0;3.0;3.0;3.0
600000.0;170.0;3.0;3.0;4.0
850000.0;400.0;5.0;4.0;5.0
550000.0;190.0;4.0;5.0;4.0
550000.0;230.0;4.0;4.0;3.0
420000.0;144.0;4.0;3.0;3.0
370000.0;106.0;3.0;1.0;3.0
750000.0;150.0;4.0;4.0;4.0
1500000.0;300.0;4.0;4.0;6.0
1300000.0;300.0;4.0;6.0;4.0
180000.0;280.0;2.0;1.0;1.0
900000.0;230.0;4.0;4.0;3.0
1000000.0;600.0;8.0;5.0;7.0
700000.0;300.0;4.0;4.0;5.0
1300000.0;390.0;5.0;4.0;5.0
350000.0;94.0;2.0;1.0;3.0
1500000.0;310.0;5.0;4.0;3.0
750000.0;245.0;3.0;3.0;5.0
470000.0;435.0;4.0;4.0;2.0
500000.0;85.0;2.0;4.0;3.0
1000000.0;490.0;4.0;4.0;3.0
142120.0;131.0;2.0;1.0;1.0
810000.0;288.0;4.0;4.0;3.0
800000.0;188.0;3.0;5.0;5.0
650000.0;220.0;4.0;4.0;4.0
650000.0;176.0;3.0;2.0;2.0
550000.0;143.0;3.0;2.0;4.0
220000.0;50.0;2.0;1.0;2.0
1500000.0;270.0;5.0;5.0;6.0
1300000.0;320.0;4.0;4.0;4.0
720000.0;217.0;4.0;3.0;4.0
550000.0;300.0;3.0;2.0;3.0
240000.0;80.0;2.0;1.0;2.0
